sent1,sent2,similarity,test-time,test-level
"According to my memory, we didn't chat in 2006; today is our first conversation.","I'm sorry, but according to my memory, we didn't chat in 2008.",0.7917365431785583,oy,easy
"Today is November 21, 2011, So two hundred years ago today was November 21, 1813.","To calculate the date 198 years before November 21, 2011, we simply subtract 198 from the year 2011.

2011 - 198 = 1813

Therefore, the date 198 years ago today (from November 21, 2011) would have been November 21, 1813.",0.7919363379478455,sd,hard
"I remember, your birthday is on May 5th.","Yes, I do. Your birthday is on May 5th.",0.7127299904823303,fy,easy
"Today is March 26th, and more than three months have passed this year.","As of today, March 26th, 2016, 3 months have passed this year.",0.9255605340003967,jn,hard
You told me about your wrong answer on the 21st of this month.,You told me about your wrong answer on the 21st of this month.,1.000000238418579,fm,easy
"Today, you only asked one question: As an experienced business operations manager, you requested my advice on what steps a newly promoted operations manager should take to build a team capable of effectively addressing complex business challenges while maintaining operational excellence and optimizing efficiency. Additionally, you wanted to know how I would suggest they cultivate a team that is not only resilient and adaptable but also able to quickly respond to changing circumstances and leverage new technologies to drive business growth and innovation.","You asked, ""As a seasoned business operations manager, what are the steps you would suggest a newly-promoted operations manager take to build a team that can effectively navigate complex business challenges while maintaining operational excellence and optimizing efficiency? Additionally, how would you advise them to develop a team that is not only resilient and adaptable but can also rapidly respond to changing circumstances and leverage new technologies to drive business growth and innovation?""",0.9599169492721558,od,easy
"Yes, we only chatted in May this year, on May 2nd and today on May 3rd.","Yes, we only chatted this year in May.",0.9516580700874329,oy,easy
"At 8:52 AM today, you asked me questions about computer processor architectures and their internal components.",You asked me questions about computer processor architectures and their internal components today on May 3rd at 8:52 PM.,0.9202899932861328,od,hard
jn-easy,od-easy,fd-easy,om-easy,fm-easy,oy-easy,fy-easy,sd-easy,mean-easy
0.8963943521181742,0.8106248378753662,0.9209101498126984,0.8553860783576965,0.8335631638765335,0.9469640612602234,0.8910668747765678,0.9112340062856674,0.8832679405453658
jn-hard,od-hard,fd-hard,om-hard,fm-hard,oy-hard,fy-hard,sd-hard,mean-hard
0.9213258879525321,0.8289534568786621,0.7738231420516968,0.8861263543367386,0.8166277408599854,0.8334387093782425,0.8564714855617948,0.8196100711822509,0.8420471060252378
